spread_national,overprediction_national,underprediction_national,wis_national,c50_national,c95_national,spread_state,overprediction_state,underprediction_state,wis_state,c50_state,c95_state,spread_age,overprediction_age,underprediction_age,wis_age,c50_age,c95_age,fold,model
164.04383000740717,1669.9183990367806,0.4459544519407076,1834.408183496128,0.2142857142857142,0.4030612244897959,37.219523368120186,277.3076938435883,0.1232146994324023,314.6504319111409,0.3783566058002148,0.624328678839957,43.79729071252885,298.88619499878325,0.1602687623706838,342.84375447368274,0.3350340136054421,0.6037414965986394,0,NLinear + QR
126.29820061618732,80.1604997280201,1497.5937425526952,1704.052442896903,0.4081632653061224,0.7755102040816326,30.40946866241947,24.478205128948588,198.3058331054509,253.1935068968189,0.4793233082706767,0.8310955961331902,36.14993291229288,27.1927372291756,187.6074462349017,250.9501163763702,0.4540816326530612,0.8341836734693877,1,NLinear + QR
187.8130837876143,30.325992245976405,824.8845671690755,1043.023643202666,0.3673469387755102,0.923469387755102,43.54572066416457,23.49376483914363,121.7638608021234,188.8033463054316,0.5185284640171858,0.9237379162191192,51.16916396651907,23.486837403099504,120.10308127789716,194.75908264751573,0.4761904761904761,0.935374149659864,2,NLinear + QR
527.6073044417805,687.4398327478347,305.101348178028,1520.148485367643,0.4540816326530612,0.8469387755102041,83.96672055775447,170.0124977409454,39.45131338606343,293.4305316847633,0.5134264232008593,0.8528464017185822,91.7212133609674,192.25408970630724,32.45348560761196,316.42878867488656,0.4923469387755102,0.8647959183673469,3,NLinear + QR
233.6448544036942,96.6818194296252,1617.08681847672,1947.41349231004,0.4693877551020408,0.7193877551020408,74.22835095446781,33.93396221555676,120.31281444830388,228.47512761832843,0.5966702470461869,0.9242749731471536,92.13765004672004,32.48243404228113,53.81686129593738,178.43694538493858,0.6028911564625851,0.9404761904761904,4,NLinear + QR
269.046365158758,106.87701411049484,1125.441869200226,1501.3652484694787,0.4744897959183674,0.7704081632653061,73.48192031011577,37.63617768018497,88.39802107944091,199.51611906974165,0.617078410311493,0.9223952738990332,90.28214734407712,34.188377960263,44.05602094327263,168.52654624761277,0.6164965986394558,0.9430272108843536,5,NLinear + QR
152.03565815406043,1496.0130932672546,0.0458165642496031,1648.0945679855645,0.1428571428571428,0.4591836734693877,32.63309980980835,260.1097291366267,0.0584294110581261,292.8012583574932,0.3007518796992481,0.6745435016111708,37.81439585892369,286.76331704830034,0.0791498977901357,324.65686280501416,0.2576530612244898,0.6607142857142857,0,DLinear + QR
137.41979397296387,69.20279503712723,1389.3184460842317,1595.9410350943226,0.3469387755102041,0.7397959183673469,29.57318597387994,19.175367350903137,199.1468264506885,247.89537977547155,0.4339419978517723,0.8402255639097744,33.67694112144354,20.89709037850726,194.38163316263825,248.95566466258904,0.4336734693877551,0.8579931972789115,1,DLinear + QR
160.31116086948543,14.042579506113462,907.9563944142712,1082.31013478987,0.4540816326530612,0.8775510204081632,37.1165271238537,15.030880713016591,140.4122070575105,192.5596148943808,0.5539742212674543,0.9250805585392052,42.23214030313182,15.079217268403667,140.814613266769,198.12597083830448,0.5085034013605442,0.9455782312925172,2,DLinear + QR
469.6920119607263,663.1755084785951,329.6503003948321,1462.5178208341536,0.4285714285714285,0.8724489795918368,78.07679369425855,166.63248581683033,42.6188171918489,287.32809670293784,0.4812030075187969,0.8504296455424275,87.81743006088696,189.99705216735543,34.48274416286587,312.29722639110827,0.4702380952380952,0.8835034013605442,3,DLinear + QR
209.0326198089092,71.74099958756513,1366.463194096397,1647.2368134928715,0.5051020408163265,0.7959183673469388,68.36353424857238,30.40684878226176,104.6597431447568,203.4301261755909,0.6288936627282492,0.9387755102040816,86.04917517296272,29.368198752206283,50.60224657671337,166.01962050188234,0.6564625850340136,0.9506802721088436,4,DLinear + QR
214.8082169757745,77.88568658427403,1198.3236631553148,1491.017566715363,0.4081632653061224,0.7959183673469388,68.68014428028917,37.46661270049902,94.63575720647094,200.78251418725912,0.5926423200859291,0.932062298603652,86.01078369787183,36.027684101112605,48.60434343991947,170.6428112389039,0.6198979591836735,0.9549319727891156,5,DLinear + QR
634.1038071571039,3273.097985939218,0.9981867569165824,3908.1999798532383,0.5510204081632653,0.7397959183673469,93.74256346088858,467.59003065408285,0.1472916051674451,561.4798857201389,0.5134264232008593,0.8249194414607949,101.70036176096708,436.992994673988,0.1810439586937115,538.8744003936488,0.4863945578231292,0.8537414965986394,0,TSMixer + QR
215.3589761702382,104.09057090802864,546.5588441657973,866.0083912440642,0.6275510204081632,0.9132653061224488,34.550991865018474,30.05067072706207,94.67937243561605,159.28103502769656,0.6361439312567132,0.890171858216971,35.38201361651646,40.10674827009558,111.87206282529016,187.3608247119022,0.6318027210884354,0.8647959183673469,1,TSMixer + QR
286.1274230741781,233.36795970590856,270.14744110019404,789.6428238802808,0.5918367346938775,0.979591836734694,53.52412737654988,41.276636523481486,63.46121265835134,158.2619765583827,0.6012352309344791,0.9428034371643396,65.34316662218929,40.30769011663581,75.17291182536928,180.8237685641944,0.641156462585034,0.9617346938775512,2,TSMixer + QR
219.7232803931408,96.97821976297134,757.0556132672431,1073.7571134233551,0.5357142857142857,0.8775510204081632,41.42202676179442,21.762144271944425,125.4632303213462,188.64740135508504,0.5048335123523093,0.8848012889366272,46.83715208378483,23.45301318329509,131.2772988725484,201.5674641396284,0.5272108843537415,0.9158163265306124,3,TSMixer + QR
