aggregation,spread_national,overprediction_national,underprediction_national,wis_national,c50_national,c95_national,spread_state,overprediction_state,underprediction_state,wis_state,c50_state,c95_state,spread_age,overprediction_age,underprediction_age,wis_age,c50_age,c95_age,model
mean,254.9617568023494,514.9443475738212,750.693496310393,1520.5996006865637,0.3836734693877551,0.7438775510204081,53.724670712514886,106.5856678465622,89.60844861450221,249.9187871735793,0.501342642320086,0.8308807733619764,62.62394965927707,115.20164745952572,76.87606056521085,254.7016576840136,0.4748299319727891,0.8362244897959183,NLinear + QR
std,161.13914424415833,698.9511151121937,605.232263754464,300.24145738759256,0.1033966052433221,0.2004589174685669,23.58262098499454,113.54393960544766,76.44262941269295,55.60959358464124,0.0857999919452012,0.1226210172824133,26.448796849672448,124.89737423128209,75.93722402519505,75.18743931353998,0.1004384535040866,0.1379368604388319,NLinear + QR
mean,238.25276071757185,179.209513838735,1038.3423996290094,1455.8046741853163,0.4285714285714285,0.8163265306122449,56.36203706417075,53.74243907270217,116.29467021025512,226.39914634712804,0.5381310418904404,0.8973147153598282,67.15729407125937,58.27384853351705,93.77711612178118,219.20825872655763,0.5377551020408162,0.9185374149659864,DLinear + QR
std,133.4257944058921,271.7630759829816,440.3653163850225,221.9615105739982,0.0582839778509992,0.0582839778509992,21.536797296485084,63.73202128884699,58.04900243669709,40.32160296560192,0.0799319978477589,0.0478401376537923,26.83931717546401,74.06792324802659,70.27493558284456,61.60876733316739,0.0962887713523567,0.044670788152602,DLinear + QR
mean,407.0720915297367,166.6055691273762,380.9781293761909,954.655790033304,0.6653061224489796,0.95,62.69335968216111,32.18468409817758,76.45617994286843,171.33422372320712,0.6357679914070892,0.9334049409237378,65.69893637556854,34.42815940848377,88.3060864738331,188.4331822578854,0.6346938775510205,0.9379251700680272,TSMixer + QR
std,312.0973526398821,64.84538659712206,261.8361015716191,219.52160657406395,0.1191957290520088,0.0520808169598973,35.590446693263246,11.27014907241567,33.08765027863338,19.615319430772125,0.0927379291511809,0.0455502166899597,30.543886212342823,14.748545278996724,31.67190801350377,9.946002338137442,0.0664642952662238,0.0475582702520733,TSMixer + QR
mean,183.646612244898,333.06081632653064,383.1255102040817,899.8329387755102,0.4153061224489796,0.8071428571428572,35.74868689581096,51.94327604726101,73.92474758324383,161.6167105263158,0.5004296455424275,0.8634801288936627,39.64617006802722,51.68452380952381,81.80363945578232,173.13433333333333,0.4586734693877551,0.8581632653061225,TSMixer + NB
std,15.215006134504216,172.75169699110617,231.09672658706023,365.98946522007,0.0853429761228833,0.07630920353365,3.1464953189930367,19.258370927988427,35.38130440751027,46.7432252188401,0.0381067342076914,0.0529336968826126,4.10686971125389,19.66193106784168,38.74822745252121,49.779501615562616,0.0510331616713168,0.0583503128736128,TSMixer + NB
mean,144.7699081632653,508.21163265306114,621.7502040816327,1274.731744897959,0.246938775510204,0.6285714285714286,30.34503705692804,84.23867883995705,99.34903329752952,213.9327491944146,0.4410848549946294,0.7790010741138561,33.776906462585046,86.85248299319727,105.45119047619048,226.0805799319728,0.407312925170068,0.7615646258503401,TFT + NB
std,36.67537259680228,335.2562304584726,440.8079159016707,221.40520794135,0.088854644532857,0.0954095274375899,7.094781056578252,52.01195018602589,69.24849354576197,28.879868577546517,0.0320194718715044,0.0537791522310252,7.655380881105598,55.24121264663598,68.52147442250994,28.765512335994558,0.0570963985500146,0.0596045370944331,TFT + NB
mean,418.5321837589942,195.66730407595497,389.2113596173405,1003.4108474522898,0.7163265306122449,0.9612244897959185,71.54756226178468,35.269354175826514,75.59112193238391,182.40803836999507,0.6958646616541353,0.955907626208378,83.87522861332238,36.38918451751971,82.98236722252598,203.24678035336805,0.7142857142857142,0.9562925170068027,TFT + QR
std,218.56153085452232,152.33436746003076,282.7374146977733,102.14620084096946,0.06539773548638504,0.035641324890965304,19.441693353359437,22.480057391641914,45.54433107493023,15.576565934349714,0.0525282447528924,0.02750116929716534,32.990273353119164,24.010834711043543,54.35665941028658,31.469547305312098,0.035347975664670954,0.032628028599136834,TFT + QR
